code,description,unit,qty,allowance,rate,amount
L10/210,Light – M_Pendant Light - Hemisphere:150W - 120V:150W - 120V:575505,piece,1.0,0.0,0.0,0.0
L10/210,Light – M_Pendant Light - Hemisphere:150W - 120V:150W - 120V:575508,piece,1.0,0.0,0.0,0.0
L10/210,Light – M_Sconce Light - Sphere:100W - 120V:100W - 120V:575376,piece,1.0,0.0,0.0,0.0
L10/210,Light – M_Sconce Light - Sphere:100W - 120V:100W - 120V:575378,piece,1.0,0.0,0.0,0.0
L10/210,Light – M_Sconce Light - Sphere:100W - 120V:100W - 120V:575388,piece,1.0,0.0,0.0,0.0
L10/210,Light – M_Sconce Light - Sphere:100W - 120V:100W - 120V:575390,piece,1.0,0.0,0.0,0.0
L10/210,Light – M_Sconce Light - Sphere:100W - 120V:100W - 120V:575488,piece,1.0,0.0,0.0,0.0
L10/210,Light – M_Sconce Light - Sphere:100W - 120V:100W - 120V:575490,piece,1.0,0.0,0.0,0.0
L10/520,Terminal Board – M_Telephone Terminal Board:TTB 300x300:TTB1:618690,piece,1.0,0.0,0.0,0.0
,TOTAL,,,,,400.0
